# Travel — one pair per line, Spanish first: "spanish, english"
aeropuerto, airport
avión, airplane
tren, train
estación, station
autobús, bus
coche, car
taxi, taxi
barco, boat
billete, ticket
maleta, suitcase
mochila, backpack
pasaporte, passport
hotel, hotel
habitación, room
llave, key
mapa, map
calle, street
esquina, corner
puente, bridge
playa, beach
montaña, mountain
frontera, border
equipaje, luggage
salida, departure
llegada, arrival
viaje, trip
vuelo, flight
aduana, customs
conductor, driver
camino, road
